Código do Cliente,cod material,b2b_status,volume_hl,valor,data_doc,materialPackaging,brand,brand_desc,material,CEP_cliente
19108092,2700267,True,0.075978,0.0,2020-01-08,7.0,12.0,Glacial,Lata,65065210
26349684,2709378,True,0.04912,0.0,2020-01-08,7.0,107.0,Devassa,Lata,70344080
19560132,2709072,True,2.22768,1329.94247,2020-01-15,4.0,52.0,Eisenbahn,Vidro,54530108
25852692,2709183,True,0.313344,0.0,2020-01-15,4.0,107.0,Devassa,Vidro,69099244
19455504,2707233,True,1.785024,592.4256,2020-01-15,4.0,33.0,Schin,Vidro,69099244
12402084,2701086,True,0.059292000000000004,63.8438,2020-01-15,2.0,55.0,Skinka,Pet,69099244
19455504,2709183,True,0.264096,98.46218,2020-01-15,4.0,107.0,Devassa,Vidro,69099244
25852692,2709183,True,0.6206399999999999,336.88212,2020-01-15,4.0,107.0,Devassa,Vidro,69099244
12402084,2707233,True,1.072224,447.56338000000005,2020-01-15,4.0,33.0,Schin,Vidro,69099244
27607140,2709072,True,0.7624799999999999,776.51453,2020-01-15,4.0,52.0,Eisenbahn,Vidro,54530108
12981552,2707233,True,3.13632,1733.9311500000001,2020-01-15,4.0,33.0,Schin,Vidro,89805517
19455504,2709144,True,0.2346,104.6809,2020-01-15,4.0,42.0,Schin No Grau,Vidro,69099244
12402084,2709183,True,0.28368,346.27824,2020-01-15,4.0,107.0,Devassa,Vidro,69099244
26349684,2709378,False,0.058282,698.1805499999999,2020-01-15,7.0,107.0,Devassa,Lata,70344080
26349684,2709393,True,0.10071600000000001,0.0,2020-01-15,7.0,107.0,Devassa,Lata,70344080
19241664,2709393,True,1.59852,2371.6708200000003,2020-01-15,7.0,107.0,Devassa,Lata,66030760
27607140,2709072,True,0.28152,0.0,2020-01-15,4.0,52.0,Eisenbahn,Vidro,54530108
19455504,2709138,True,0.4530239999999999,87.8644,2020-01-15,4.0,42.0,Schin No Grau,Vidro,69099244
25852692,2711286,True,0.140165,149.86054,2020-01-15,4.0,52.0,Eisenbahn,Vidro,69099244
26349684,2709378,True,0.156672,0.0,2020-01-15,7.0,107.0,Devassa,Lata,70344080
12402084,2708400,False,0.15648,27.44478,2020-01-15,2.0,116.0,Viva Schin,Pet,69099244
26349684,2709393,True,0.63168,214.91199999999998,2020-01-15,7.0,107.0,Devassa,Lata,70344080
19241664,2709393,True,0.26417999999999997,0.0,2020-01-15,7.0,107.0,Devassa,Lata,66030760
19455504,2708385,True,0.08688,46.94,2020-01-15,2.0,116.0,Viva Schin,Pet,69099244
12402084,2708556,,0.160962,190.59502,2020-01-15,7.0,33.0,Schin,Lata,69099244
12402084,2708391,True,0.04116,21.42954,2020-01-15,7.0,116.0,Viva Schin,Lata,69099244
12981552,2707233,False,0.535194,0.0,2020-01-15,4.0,33.0,Schin,Vidro,89805517
14345688,2707218,True,0.10054800000000001,0.0,2020-02-19,7.0,33.0,Schin,Lata,66030760
19108092,2709378,True,2.3715189999999997,1986.3552000000002,2020-02-19,7.0,107.0,Devassa,Lata,65065210
19620228,2709138,True,0.8510399999999999,69.69949,2020-02-19,4.0,42.0,Schin No Grau,Vidro,65065210
19108092,2700267,True,4.638816,1763.44128,2020-02-19,7.0,12.0,Glacial,Lata,65065210
19108092,2700267,True,0.029232,0.0,2020-02-19,7.0,12.0,Glacial,Lata,65065210
19108092,2700267,True,2.7268499999999998,914.66928,2020-02-19,7.0,12.0,Glacial,Lata,65065210
12402084,2707233,True,0.161568,397.78225,2020-02-19,4.0,33.0,Schin,Vidro,69099244
25538628,2701050,True,1.3032,483.54569999999995,2020-02-19,2.0,97.0,Itubaina,Pet,17032020
19620228,2709183,True,0.068256,81.74616,2020-02-19,4.0,107.0,Devassa,Vidro,65065210
19108092,2700267,True,0.07434,0.0,2020-02-19,7.0,12.0,Glacial,Lata,65065210
19620228,2709183,True,0.024528,0.0,2020-02-19,4.0,107.0,Devassa,Vidro,65065210
19108092,2709378,True,1.23066,86.6688,2020-02-19,7.0,107.0,Devassa,Lata,65065210
26349684,2701050,True,0.56556,0.0,2020-02-19,2.0,97.0,Itubaina,Pet,70344080
19620228,2707218,True,0.08618400000000001,5.2822000000000005,2020-02-19,7.0,33.0,Schin,Lata,65065210
19108092,2709378,False,0.121536,0.0,2020-02-19,7.0,107.0,Devassa,Lata,65065210
14345688,2709072,True,0.092304,156.17364,2020-02-19,4.0,52.0,Eisenbahn,Vidro,66030760
12402084,2701086,False,0.045899999999999996,22.677639999999997,2020-02-19,2.0,55.0,Skinka,Pet,69099244
26349684,2709393,True,0.99036,662.9887999999999,2020-02-19,7.0,107.0,Devassa,Lata,70344080
19620228,2707296,True,0.54696,29.60055,2020-02-19,4.0,33.0,Schin,Vidro,65065210
26349684,2709378,True,0.745108,690.3796499999999,2020-02-19,7.0,107.0,Devassa,Lata,70344080
13426188,2707296,True,1.22304,297.60354,2020-02-19,4.0,33.0,Schin,Vidro,68906818
13426188,2707218,True,0.38136,294.42528,2020-02-19,7.0,33.0,Schin,Lata,68906818
14345688,2711250,True,0.31143,183.64104,2020-02-19,7.0,52.0,Eisenbahn,Lata,66030760
19108092,2709378,True,0.024192,0.0,2020-02-19,7.0,107.0,Devassa,Lata,65065210
19620228,2708556,True,0.03696,116.88059999999999,2020-02-19,7.0,33.0,Schin,Lata,65065210
19620228,2707233,True,0.7994879999999999,144.24815999999998,2020-02-19,4.0,33.0,Schin,Vidro,65065210
26349684,2707218,True,0.89922,189.76203000000004,2020-02-19,7.0,33.0,Schin,Lata,70344080
25538628,2701050,True,0.3588,0.0,2020-02-19,2.0,97.0,Itubaina,Pet,17032020
12402084,2708400,True,0.15611999999999998,13.590399999999999,2020-02-19,2.0,116.0,Viva Schin,Pet,69099244
2449428,2709384,True,29.856417,25121.180480000003,2020-02-18,7.0,107.0,Devassa,Lata,68906818
19241664,2709075,True,0.071352,18.97506,2020-02-18,4.0,52.0,Eisenbahn,Vidro,66030760
19241664,657999,True,0.018603,20.53493,2020-02-18,4.0,8.0,Dreher,Vidro,66030760
19241664,2709393,False,1.3312739999999998,357.93772,2020-02-18,7.0,107.0,Devassa,Lata,66030760
19241664,2709183,True,0.14759999999999998,0.0,2020-02-18,4.0,107.0,Devassa,Vidro,66030760
19241664,2708391,True,0.06363,40.4767,2020-02-18,7.0,116.0,Viva Schin,Lata,66030760
2449428,2707230,True,35.150905,17860.79802,2020-02-18,7.0,33.0,Schin,Lata,68906818
2449428,2709384,True,3.092911,0.0,2020-02-18,7.0,107.0,Devassa,Lata,68906818
19241664,2700267,False,0.09807,0.0,2020-02-18,7.0,12.0,Glacial,Lata,66030760
2449428,2707230,True,0.49357999999999996,0.0,2020-02-18,7.0,33.0,Schin,Lata,68906818
19241664,2700270,True,10.404,1682.2144,2020-02-18,4.0,12.0,Glacial,Vidro,66030760
27489360,2709183,True,0.7339680000000001,0.0,2020-01-09,4.0,107.0,Devassa,Vidro,54530108
19241664,2708385,True,0.21287999999999999,0.0,2020-01-09,2.0,116.0,Viva Schin,Pet,66030760
19241664,2700267,True,5.0232,773.604,2020-01-09,7.0,12.0,Glacial,Lata,66030760
27489360,2709183,False,0.005184,0.0,2020-01-09,4.0,107.0,Devassa,Vidro,54530108
19241664,2708340,True,5.54688,423.67728,2020-01-09,2.0,116.0,Viva Schin,Pet,66030760
19241664,2708385,True,3.76128,597.19408,2020-01-09,2.0,116.0,Viva Schin,Pet,66030760
19455504,2707296,True,0.46296,273.6971,2020-01-09,4.0,33.0,Schin,Vidro,69099244
19241664,2708340,True,0.372,0.0,2020-01-09,2.0,116.0,Viva Schin,Pet,66030760
26281800,2706963,True,0.097902,0.0,2020-01-09,7.0,97.0,Itubaina,Lata,60752360
19241664,2708427,True,0.59544,0.0,2020-01-09,2.0,116.0,Viva Schin,Pet,66030760
19241664,2708427,True,0.99648,593.0840000000001,2020-01-09,2.0,116.0,Viva Schin,Pet,66030760
26281800,2709075,True,0.115488,109.03547,2020-01-09,4.0,52.0,Eisenbahn,Vidro,60752360
19455504,2707218,True,0.462672,76.54686,2020-01-09,7.0,33.0,Schin,Lata,69099244
27489360,2701086,True,0.011502,60.783840000000005,2020-01-09,2.0,55.0,Skinka,Pet,54530108
26281800,2707218,True,1.17726,443.63968,2020-01-09,7.0,33.0,Schin,Lata,60752360
19455504,2708556,True,0.249228,20.52069,2020-01-09,7.0,33.0,Schin,Lata,69099244
13426188,2707233,True,0.178704,224.738,2020-01-09,4.0,33.0,Schin,Vidro,68906818
19241664,2700267,True,0.6468,0.0,2020-01-09,7.0,12.0,Glacial,Lata,66030760
27489360,2709393,True,0.144648,94.76436000000001,2020-01-09,7.0,107.0,Devassa,Lata,54530108
13426188,2709513,True,0.28956,153.12087,2020-01-09,4.0,107.0,Devassa,Vidro,68906818
26281800,2707230,True,0.6441079999999999,404.87364,2020-01-09,7.0,33.0,Schin,Lata,60752360
27489360,2709183,True,2.970864,2740.3147200000003,2020-01-09,4.0,107.0,Devassa,Vidro,54530108
19455504,2707233,True,0.86616,806.4631999999999,2020-01-09,4.0,33.0,Schin,Vidro,69099244
13426188,2707218,False,0.579852,375.68699999999995,2020-01-09,7.0,33.0,Schin,Lata,68906818
13426188,2709183,False,0.21700799999999998,120.55939,2020-01-09,4.0,107.0,Devassa,Vidro,68906818
27489360,2709183,True,0.18431999999999998,1193.35383,2020-02-20,4.0,107.0,Devassa,Vidro,54530108
13426188,2707296,True,1.1178000000000001,405.27942,2020-02-20,4.0,33.0,Schin,Vidro,68906818
26281800,2703483,True,1.128474,0.0,2020-02-20,4.0,107.0,Devassa,Vidro,60752360
19455504,2707296,True,0.19344,42.8526,2020-02-20,4.0,33.0,Schin,Vidro,69099244
19455504,2709144,True,0.24816,109.4653,2020-02-20,4.0,42.0,Schin No Grau,Vidro,69099244
26281800,2703483,True,1.376832,1011.8970400000001,2020-02-20,4.0,107.0,Devassa,Vidro,60752360
19455504,2709138,True,0.096912,50.137,2020-02-20,4.0,42.0,Schin No Grau,Vidro,69099244
12315348,2707230,False,0.144592,40.6522,2020-01-14,7.0,33.0,Schin,Lata,60752360
12315348,2708556,True,0.081344,18.016740000000002,2020-01-14,7.0,33.0,Schin,Lata,60752360
12315348,2708400,True,0.16068,29.04553,2020-01-14,2.0,116.0,Viva Schin,Pet,60752360
12315348,2709183,False,0.414,174.2108,2020-01-14,4.0,107.0,Devassa,Vidro,60752360
12981552,2707296,True,9.702,2590.64883,2020-01-14,4.0,33.0,Schin,Vidro,89805517
27393336,2700267,False,3.4335,1442.19614,2020-01-14,7.0,12.0,Glacial,Lata,88816276
12315348,2700096,True,0.1866,12.833079999999999,2020-01-14,2.0,84.0,Agua Schin,Pet,60752360
12315348,2707233,True,0.171504,181.91615000000002,2020-01-14,4.0,33.0,Schin,Vidro,60752360
27393336,2700267,True,0.46048800000000006,0.0,2020-01-14,7.0,12.0,Glacial,Lata,88816276
27393336,2701050,True,0.099,91.89024,2020-01-07,2.0,97.0,Itubaina,Pet,88816276
27393336,2707290,True,0.39354,219.97104000000002,2020-01-07,7.0,33.0,Schin,Lata,88816276
13426188,2707296,True,2.0737200000000002,917.59536,2020-01-07,4.0,33.0,Schin,Vidro,68906818
18088944,2707230,True,0.40256999999999993,335.05289999999997,2020-01-07,7.0,33.0,Schin,Lata,68906818
26349684,2708385,True,1.17888,227.95484,2020-02-12,2.0,116.0,Viva Schin,Pet,70344080
19108092,2709183,True,1.8266399999999998,752.4024499999999,2020-02-12,4.0,107.0,Devassa,Vidro,65065210
19108092,657999,True,0.057816,67.38132,2020-02-12,4.0,8.0,Dreher,Vidro,65065210
19108092,2700267,False,2.71656,2144.7153,2020-02-12,7.0,12.0,Glacial,Lata,65065210
19108092,2700267,True,2.38896,1414.6617599999997,2020-02-12,7.0,12.0,Glacial,Lata,65065210
12402084,2707233,True,1.40112,409.19372,2020-02-12,4.0,33.0,Schin,Vidro,69099244
19108092,2700267,True,0.115206,0.0,2020-02-12,7.0,12.0,Glacial,Lata,65065210
26349684,2708445,True,0.34224,0.0,2020-02-12,2.0,116.0,Viva Schin,Pet,70344080
19108092,2709378,True,0.194176,2315.6185600000003,2020-02-12,7.0,107.0,Devassa,Lata,65065210
12402084,2708391,True,0.068376,55.668139999999994,2020-02-12,7.0,116.0,Viva Schin,Lata,69099244
14345688,2711379,True,0.028560000000000006,0.0,2020-02-12,7.0,50.0,FYS,Lata,66030760
19108092,2709378,True,0.039936,0.0,2020-02-12,7.0,107.0,Devassa,Lata,65065210
14345688,2709072,True,0.144,36.097919999999995,2020-02-12,4.0,52.0,Eisenbahn,Vidro,66030760
12402084,2701086,True,0.08154,57.560120000000005,2020-02-12,2.0,55.0,Skinka,Pet,69099244
14345688,2707218,True,0.005334,0.0,2020-02-12,7.0,33.0,Schin,Lata,66030760
19108092,2700267,True,0.050988,0.0,2020-02-12,7.0,12.0,Glacial,Lata,65065210
26349684,2708427,True,0.33912,5.54084,2020-02-12,2.0,116.0,Viva Schin,Pet,70344080
26349684,2708451,True,1.49712,163.25968000000003,2020-02-12,2.0,116.0,Viva Schin,Pet,70344080
26349684,2707218,True,0.98952,494.04278000000005,2020-02-12,7.0,33.0,Schin,Lata,70344080
26349684,2708340,True,0.3726,58.06176000000001,2020-02-12,2.0,116.0,Viva Schin,Pet,70344080
12402084,2708385,True,0.12384,35.68401,2020-02-12,2.0,116.0,Viva Schin,Pet,69099244
14345688,2711373,True,0.065268,36.220800000000004,2020-02-12,7.0,50.0,FYS,Lata,66030760
12315348,2708400,True,0.10913999999999999,5.599349999999999,2020-12-16,2.0,116.0,Viva Schin,Pet,60752360
19620228,2707233,False,0.666144,371.4912,2020-12-16,4.0,33.0,Schin,Vidro,65065210
19620228,2707296,True,0.5112,284.2776,2020-12-16,4.0,33.0,Schin,Vidro,65065210
12981552,2707296,True,0.04896,0.0,2020-12-16,4.0,33.0,Schin,Vidro,89805517
20513220,2700267,True,0.48741,26.95185,2020-12-16,7.0,12.0,Glacial,Lata,77020530
2449428,2707230,True,17.439048000000003,2184.1142400000003,2020-12-16,7.0,33.0,Schin,Lata,68906818
12402084,2707233,True,1.064448,360.79704000000004,2020-12-16,4.0,33.0,Schin,Vidro,69099244
12402084,2709183,True,0.40809599999999996,128.67039999999997,2020-12-16,4.0,107.0,Devassa,Vidro,69099244
19620228,2707230,True,0.150864,76.62872,2020-12-16,7.0,33.0,Schin,Lata,65065210
12315348,2709183,False,0.085392,273.03441000000004,2020-12-16,4.0,107.0,Devassa,Vidro,60752360
13426188,2707233,False,0.23313599999999998,110.35465,2020-12-16,4.0,33.0,Schin,Vidro,68906818
12315348,2707233,True,0.45187199999999994,352.52967,2020-12-16,4.0,33.0,Schin,Vidro,60752360
13426188,2709393,True,0.24948,106.176,2020-12-16,7.0,107.0,Devassa,Lata,68906818
13426188,2707296,False,4.4658,755.43666,2020-12-16,4.0,33.0,Schin,Vidro,68906818
2449428,2707230,True,0.38488,0.0,2020-12-16,7.0,33.0,Schin,Lata,68906818
26281800,2701248,True,0.356967,19.418680000000002,2020-02-13,7.0,12.0,Glacial,Lata,60752360
19455504,2707290,True,0.058884,85.09487999999999,2020-02-13,7.0,33.0,Schin,Lata,69099244
24200784,2709393,True,0.232512,117.69212,2020-02-13,7.0,107.0,Devassa,Lata,14021020
27489360,2709393,True,0.028686000000000003,36.55356,2020-02-13,7.0,107.0,Devassa,Lata,54530108
19455504,2708556,False,0.14848,34.9928,2020-02-13,7.0,33.0,Schin,Lata,69099244
26281800,2711166,True,0.10991400000000001,66.02923000000001,2020-02-13,4.0,97.0,Itubaina,Vidro,60752360
2449428,2709075,False,3.41712,608.77272,2020-02-13,4.0,52.0,Eisenbahn,Vidro,68906818
2449428,2701500,True,0.037776000000000004,0.0,2020-02-13,4.0,40.0,Baden - Baden,Vidro,68906818
2449428,2700354,False,0.050064,0.0,2020-02-13,4.0,40.0,Baden - Baden,Vidro,68906818
2449428,2700354,True,0.41659199999999996,227.262,2020-02-13,4.0,40.0,Baden - Baden,Vidro,68906818
26281800,2707218,True,0.41643,136.02522,2020-02-13,7.0,33.0,Schin,Lata,60752360
13426188,2707218,True,0.10441200000000002,4.93,2020-02-13,7.0,33.0,Schin,Lata,68906818
2449428,2709384,True,3.9543069999999996,0.0,2020-02-13,7.0,107.0,Devassa,Lata,68906818
2449428,2701500,False,0.12261599999999999,67.77027000000001,2020-02-13,4.0,40.0,Baden - Baden,Vidro,68906818
26281800,2705343,True,0.049350000000000005,10.961999999999998,2020-02-13,4.0,52.0,Eisenbahn,Vidro,60752360
19455504,2707218,True,0.051744000000000005,114.81239,2020-02-13,7.0,33.0,Schin,Lata,69099244
2449428,2700327,True,0.011616,0.0,2020-02-13,4.0,40.0,Baden - Baden,Vidro,68906818
27489360,2709183,False,2.051136,1959.40976,2020-02-13,4.0,107.0,Devassa,Vidro,54530108
19455504,2709138,True,0.19958399999999998,94.6786,2020-02-13,4.0,42.0,Schin No Grau,Vidro,69099244
13426188,2709570,False,0.03555,19.269289999999998,2020-02-13,2.0,116.0,Viva Schin,Pet,68906818
2449428,2709075,True,1.242864,0.0,2020-02-13,4.0,52.0,Eisenbahn,Vidro,68906818
19455504,2709144,True,0.16128,44.654399999999995,2020-02-13,4.0,42.0,Schin No Grau,Vidro,69099244
2449428,2709384,False,31.991694,7046.75704,2020-02-13,7.0,107.0,Devassa,Lata,68906818
27489360,2701086,True,0.100764,47.01996,2020-02-13,2.0,55.0,Skinka,Pet,54530108
13426188,2709564,True,0.07761,2.5984499999999997,2020-02-13,2.0,116.0,Viva Schin,Pet,68906818
24200784,2709072,True,0.30038399999999993,227.06536000000003,2020-02-13,4.0,52.0,Eisenbahn,Vidro,14021020
19455504,2707296,True,0.30384,517.05045,2020-02-13,4.0,33.0,Schin,Vidro,69099244
13426188,2707296,True,2.05776,617.53032,2020-02-13,4.0,33.0,Schin,Vidro,68906818
13426188,2709513,True,0.33576,119.48739,2020-02-13,4.0,107.0,Devassa,Vidro,68906818
26281800,2707632,True,0.34544,242.49568,2020-02-13,4.0,52.0,Eisenbahn,Vidro,60752360
2449428,2700327,True,0.18302399999999996,165.57048,2020-02-13,4.0,40.0,Baden - Baden,Vidro,68906818
18088944,2711400,True,0.059879999999999996,10.438920000000001,2020-01-13,2.0,50.0,FYS,Pet,68906818
12981552,2707296,True,15.817200000000001,8473.86694,2020-01-13,4.0,33.0,Schin,Vidro,89805517
13426188,2707233,True,0.20376,115.958,2020-01-13,4.0,33.0,Schin,Vidro,68906818
13426188,2707296,True,0.336,1199.4316400000002,2020-01-13,4.0,33.0,Schin,Vidro,68906818
12981552,2708556,True,1.005284,0.0,2020-01-13,7.0,33.0,Schin,Lata,89805517
18088944,2707296,True,0.41064,142.16761,2020-01-13,4.0,33.0,Schin,Vidro,68906818
18088944,2709384,True,0.050344,113.49512999999999,2020-01-13,7.0,107.0,Devassa,Lata,68906818
13426188,2707218,True,0.447048,368.29903,2020-01-13,7.0,33.0,Schin,Lata,68906818
12981552,2707296,True,24.5868,6800.088679999999,2020-01-13,4.0,33.0,Schin,Vidro,89805517
12981552,657999,True,0.343548,291.47383999999994,2020-01-13,4.0,8.0,Dreher,Vidro,89805517
27489360,2709183,True,0.021743999999999996,139.1767,2020-01-13,4.0,107.0,Devassa,Vidro,54530108
12981552,2709183,True,0.13003199999999998,23.1527,2020-01-13,4.0,107.0,Devassa,Vidro,89805517
12981552,2708556,True,4.780668,3436.67522,2020-01-13,7.0,33.0,Schin,Lata,89805517
13426188,2709513,True,0.11975999999999999,96.04405,2020-01-13,4.0,107.0,Devassa,Vidro,68906818
13426188,2709513,True,0.08628,130.30142999999998,2020-01-13,4.0,107.0,Devassa,Vidro,68906818
18088944,2707230,True,0.849298,289.52344,2020-01-13,7.0,33.0,Schin,Lata,68906818
20513220,2709378,True,4.459482,1288.3039999999999,2020-12-17,7.0,107.0,Devassa,Lata,77020530
2449428,2707230,True,1.8049680000000001,1317.56118,2020-12-17,7.0,33.0,Schin,Lata,68906818
26867736,2705343,True,0.07633000000000001,180.36138,2020-12-17,4.0,52.0,Eisenbahn,Vidro,45656572
13021080,2709183,True,0.093024,0.0,2020-12-17,4.0,107.0,Devassa,Vidro,41340170
19455504,2708556,True,0.094592,103.56062999999999,2020-12-17,7.0,33.0,Schin,Lata,69099244
19455504,2709144,False,0.03144,75.45327,2020-12-17,4.0,42.0,Schin No Grau,Vidro,69099244
27607140,2709072,True,0.144288,1243.9504,2020-12-17,4.0,52.0,Eisenbahn,Vidro,54530108
19455504,2707233,True,0.39168000000000003,864.00429,2020-12-17,4.0,33.0,Schin,Vidro,69099244
13426188,2707218,True,0.910224,346.64346,2020-12-17,7.0,33.0,Schin,Lata,68906818
24691824,2707296,True,0.63984,0.0,2020-12-17,4.0,33.0,Schin,Vidro,65065210
24441408,2705343,True,1.190244,654.3787500000001,2020-12-17,4.0,52.0,Eisenbahn,Vidro,17032020
13426188,2707296,True,3.1188000000000002,861.9617600000001,2020-12-17,4.0,33.0,Schin,Vidro,68906818
26349684,2708451,True,0.4092,18.23264,2020-12-17,2.0,116.0,Viva Schin,Pet,70344080
26349684,2708385,True,0.11879999999999999,63.452799999999996,2020-12-17,2.0,116.0,Viva Schin,Pet,70344080
18088944,2707296,False,0.27924,0.0,2020-12-17,4.0,33.0,Schin,Vidro,68906818
13021080,2709387,True,0.138672,98.37438,2020-12-17,4.0,107.0,Devassa,Vidro,41340170
26349684,2708445,True,0.20568,58.995039999999996,2020-12-17,2.0,116.0,Viva Schin,Pet,70344080
19455504,2708385,True,0.10872,55.174099999999996,2020-12-17,2.0,116.0,Viva Schin,Pet,69099244
26349684,2701050,True,0.47808,48.525949999999995,2020-12-17,2.0,97.0,Itubaina,Pet,70344080
26349684,2708427,True,0.24768,54.73808,2020-12-17,2.0,116.0,Viva Schin,Pet,70344080
26867736,2709393,True,0.125874,461.20461,2020-12-17,7.0,107.0,Devassa,Lata,45656572
2449428,2707230,True,0.32284100000000004,0.0,2020-12-17,7.0,33.0,Schin,Lata,68906818
13021080,2709183,True,4.18608,2919.3272,2020-12-17,4.0,107.0,Devassa,Vidro,41340170
19455504,2707296,False,0.35496,24.7968,2020-12-17,4.0,33.0,Schin,Vidro,69099244
18088944,2707296,True,1.944,1720.5846,2020-12-17,4.0,33.0,Schin,Vidro,68906818
27489360,2709183,True,0.41472000000000003,2992.34115,2020-12-17,4.0,107.0,Devassa,Vidro,54530108
13426188,2707296,True,0.38064,0.0,2020-12-17,4.0,33.0,Schin,Vidro,68906818
24691824,2707296,True,4.3104,3237.78406,2020-12-17,4.0,33.0,Schin,Vidro,65065210
19241664,2709393,True,3.37932,1291.3139999999999,2020-02-11,7.0,107.0,Devassa,Lata,66030760
19241664,2700270,True,13.40928,9897.7227,2020-02-11,4.0,12.0,Glacial,Vidro,66030760
19241664,2709378,False,1.2584,1142.5056000000002,2020-02-11,7.0,107.0,Devassa,Lata,66030760
12315348,2709183,True,0.036846,0.0,2020-02-11,4.0,107.0,Devassa,Vidro,60752360
27393336,2701050,True,0.8154,99.50927999999999,2020-02-11,2.0,97.0,Itubaina,Pet,88816276
19241664,2709393,True,0.415464,0.0,2020-02-11,7.0,107.0,Devassa,Lata,66030760
13426188,2707296,True,1.008,1020.2240400000001,2020-02-11,4.0,33.0,Schin,Vidro,68906818
13426188,2709183,True,0.043343999999999994,330.74928,2020-02-11,4.0,107.0,Devassa,Vidro,68906818
12981552,2701086,True,0.9439200000000001,27.27336,2020-02-11,2.0,55.0,Skinka,Pet,89805517
27393336,2700267,False,0.12852000000000002,0.0,2020-02-11,7.0,12.0,Glacial,Lata,88816276
13426188,2707233,True,0.11376,125.8944,2020-02-11,4.0,33.0,Schin,Vidro,68906818
12981552,2707296,False,6.1524,324.9246,2020-02-11,4.0,33.0,Schin,Vidro,89805517
19241664,2709378,True,0.212334,0.0,2020-02-11,7.0,107.0,Devassa,Lata,66030760
12315348,2709183,True,0.12340799999999999,345.99588,2020-02-11,4.0,107.0,Devassa,Vidro,60752360
12315348,2707233,True,0.44999999999999996,165.76625,2020-02-11,4.0,33.0,Schin,Vidro,60752360
27393336,2700267,True,1.2274080000000003,1518.3212,2020-02-11,7.0,12.0,Glacial,Lata,88816276
12981552,2707233,True,0.228072,0.0,2020-01-28,4.0,33.0,Schin,Vidro,89805517
12981552,2707233,True,0.557568,342.7619,2020-01-28,4.0,33.0,Schin,Vidro,89805517
27393336,2711223,True,0.31229,337.61987999999997,2020-01-28,4.0,52.0,Eisenbahn,Vidro,88816276
12981552,2707296,True,17.718,1626.70585,2020-01-28,4.0,33.0,Schin,Vidro,89805517
12402084,2707233,True,0.9950399999999999,227.87804,2020-01-22,4.0,33.0,Schin,Vidro,69099244
19620228,2700096,True,0.04907999999999999,13.7402,2020-01-22,2.0,84.0,Agua Schin,Pet,65065210
26349684,2701050,False,0.432,529.02396,2020-01-22,2.0,97.0,Itubaina,Pet,70344080
26349684,2708445,True,0.5418,0.0,2020-01-22,2.0,116.0,Viva Schin,Pet,70344080
12315348,2709183,True,0.08899199999999999,308.93961,2020-01-22,4.0,107.0,Devassa,Vidro,60752360
24200784,2709072,True,0.5060159999999999,773.1574299999999,2020-01-22,4.0,52.0,Eisenbahn,Vidro,14021020
